t,x,y,z
0.654,3.1635,-0.951057,8.25717
0.655,3.16375,-1,8.26605
0.656,3.164,-0.951057,8.27494
0.657,3.16425,-0.809017,8.28384
0.658,3.1645,-0.587785,8.29274
0.659,3.16475,-0.309017,8.30166
0.66,3.165,1.41131e-13,8.31059
0.661,3.16525,0.309017,8.31953
0.662,3.1655,0.587785,8.32848
0.663,3.16575,0.809017,8.33744
0.664,3.166,0.951057,8.34641
0.665,3.16625,1,8.35538
0.666,3.1665,0.951057,8.36437
0.667,3.16675,0.809017,8.37337
0.668,3.167,0.587785,8.38238
0.669,3.16725,0.309017,8.3914
0.67,3.1675,-1.58772e-13,8.40043
0.671,3.16775,-0.309017,8.40946
0.672,3.168,-0.587785,8.41851
0.673,3.16825,-0.809017,8.42757
0.674,3.1685,-0.951057,8.43664
0.675,3.16875,-1,8.44572
0.676,3.169,-0.951057,8.45481
0.677,3.16925,-0.809017,8.46391
0.678,3.1695,-0.587785,8.47302
0.679,3.16975,-0.309017,8.48213
0.68,3.17,1.47992e-13,8.49126
0.681,3.17025,0.309017,8.5004
0.682,3.1705,0.587785,8.50955
0.683,3.17075,0.809017,8.51871
0.684,3.171,0.951057,8.52788
0.685,3.17125,1,8.53706
0.686,3.1715,0.951057,8.54625
0.687,3.17175,0.809017,8.55545
0.688,3.172,0.587785,8.56467
0.689,3.17225,0.309017,8.57389
0.69,3.1725,-1.65633e-13,8.58312
0.691,3.17275,-0.309017,8.59236
0.692,3.173,-0.587785,8.60161
0.693,3.17325,-0.809017,8.61087
0.694,3.1735,-0.951057,8.62015
0.695,3.17375,-1,8.62943
0.696,3.174,-0.951057,8.63872
0.697,3.17425,-0.809017,8.64803
0.698,3.1745,-0.587785,8.65734
0.699,3.17475,-0.309017,8.66667
0.7,3.175,1.54852e-13,8.676
0.701,3.17525,0.309017,8.68535
0.702,3.1755,0.587785,8.6947
0.703,3.17575,0.809017,8.70407
0.704,3.176,0.951057,8.71344
0.705,3.17625,1,8.72283
0.706,3.1765,0.951057,8.73223
0.707,3.17675,0.809017,8.74164
0.708,3.177,0.587785,8.75105
0.709,3.17725,0.309017,8.76048
0.71,3.1775,-1.72493e-13,8.76992
0.711,3.17775,-0.309017,8.77937
0.712,3.178,-0.587785,8.78883
0.713,3.17825,-0.809017,8.7983
0.714,3.1785,-0.951057,8.80778
0.715,3.17875,-1,8.81728
0.716,3.179,-0.951057,8.82678
0.717,3.17925,-0.809017,8.83629
0.718,3.1795,-0.587785,8.84582
0.719,3.17975,-0.309017,8.85535
0.72,3.18,1.61713e-13,8.8649
0.721,3.18025,0.309017,8.87445
0.722,3.1805,0.587785,8.88402
0.723,3.18075,0.809017,8.8936
0.724,3.181,0.951057,8.90318
0.725,3.18125,1,8.91278
